author,url,text,section,title,sub_title,date
RFI,https://www.cartacapital.com.br/mundo/onu-condena-codigo-penal-do-brunei-que-institui-morte-a-pedradas/,"Em entrevista à , a porta-voz do Alto Comissariado da ONU para os Direitos Humanos, Ravina Shamdasani, disse que pedirá ao governo do Brunei, pequeno sultanato situado no sudeste asiático, a revisão do novo Código Penal.
Segundo ela, penas como essa, aplicadas atualmente, são “cruéis e desumanas e violam gravemente o direito internacional e os direitos humanos. Este é, por exemplo, o caso da morte por lapidação, que deve entrar em vigor na quarta-feira 3 e estipula a pena de morte para estupro, adultério, relações sexuais extraconjugais para os muçulmanos, sodomia, roubo ou insulto ou difamação ao profeta Maomé”, explicou a Shamdasani.
A nova lei também criminaliza a exposição dos meninos muçulmanos a outras religiões e ordena a amputação de uma mão ou um pé por roubo ou a lapidação pública como punição para o aborto. O pedido da ONU acontece depois que o ator americano  convocou um boicote a nove hotéis de luxo vinculados ao sultão de Brunei. Sua convocação foi apoiada por personalidades políticas ou artísticas de diversas tendências, mesmo entre as mais conservadoras.  A pena de morte está prevista na legislação de Brunei, mas a última execução remonta a 1957, segundo a ONU. “Peço a Brunei que mantenha sua moratória de fato sobre a aplicação da pena de morte”, escreveu, em um comunicado, a Alta Comissária da ONU para os Direitos Humanos, Michelle Bachelet.
A pequena monarquia de 430 mil habitantes é dirigida com mão de ferro pelo sultão Hasanal Bolkiah desde 1967. O Sultanato anunciou a introdução progressiva da sharia, a lei muçulmana, pela primeira vez em 2013. A aplicação foi adiada para que os oficiais resolvessem a oposição de organizações de direitos humanos.
",Mundo,"ONU condena Código Penal do Brunei, que institui morte a pedradas",As novas penas atingem em particular homossexuais e adúlteros,03/04/2019 17:54:53
Alexandre Putti,https://www.cartacapital.com.br/justica/centro-de-treinamento-do-flamengo-e-interditado-pela-prefeitura-do-rio/,"O local já foi interditado mais de uma vez pela administração carioca. Em outubro de 2017, a Guarda Municipal havia determinado o fechamento do centro, mas a ordem não foi acatada pelo clube.      Além de não fechar o centro de treinamento, o Flamengo construiu um alojamento utilizando contêineres sem nunca ter pedido licença à prefeitura. Após o acidente, o clube se reuniu com autoridades da prefeitura e ficou decidido que o local não estava apto para funcionar. Mesmo assim, o Flamengo manteve as atividades no Ninho do Urubu e desde o dia 15 de fevereiro, o CT está sendo utilizado normalmente para os treinamentos das equipes.
As secretarias municipais da Fazenda e da Ordem Pública, junto com o Ministério Público do Rio, participaram da operação. A ordem é manter a Guarda Municipal no local assegurando que o centro não irá funcionar até o clube regularizar as documentações.  ",Justiça,Centro de Treinamento do Flamengo é interditado pela Prefeitura do Rio,Ninho do Urubu foi palco de uma tragédia no dia 8 de fevereiro que matou 10 atletas adolescentes e deixou mais três feridos,27/02/2019 14:10:40
RFI,https://www.cartacapital.com.br/mundo/otan-celebra-70-anos-com-serias-divisoes-internas/,"O tom discreto da celebração dos 70 anos da Otan, apenas com a presença dos chanceleres de seus 29 países, e sem a presença de chefes de Estado e governo, é um retrato do dilema existencial que a aliança militar enfrenta atualmente. Seu maior crítico, o presidente norte-americano, , é o anfitrião da festa. A  celebração em Washington, aliás, foi considerada bastante modesta.
Há 20 anos, durante a comemoração de seu cinquentenário, a Otan estava em plena guerra na ex-Iugoslávia. Apesar da falta de unanimidade sobre o envio de suas tropas terrestres para o conflito, Washington celebrou a data com ares de vitória, mesmo tendo liderado uma operação militar polêmica.
O aniversário de 70 anos está sendo marcado pelas disputas internas e pressão do governo de Trump para que os aliados aumentem ainda mais suas contribuições com os gastos de defesa da aliança.  Além disso, o comportamento agressivo da Rússia com os vizinhos Ucrânia e Geórgia preocupa a Otan. Velhos medos vieram novamente à tona, principalmente nos ex-países do Leste Europeu, quando a  anexou a Criméia, em 2014. É, de certa forma, uma volta às origens, cuja apreensão não é mais a ameaça soviética, mas os interesses russos.
A Otan foi fundada em 1949, no começo da Guerra Fria, com o objetivo de defender a Europa Ocidental de um possível ataque da União Soviética e seus países-vizinhos. Quando foi criada, 12 países da Europa e América do Norte integravam a aliança. Hoje, são 29. Na época, o intuito da Otan era “manter os americanos dentro, os alemães embaixo e os russos fora”, como afirmou o primeiro-secretário da organização, Hasting Ismay. Para se proteger da ameaça do expansionismo soviético, criou-se o princípio de defesa mútua, que é o compromisso de defender uns aos outros em caso de ataque.
Desde que a Otan foi criada, os EUA têm sido os maiores contribuintes em dinheiro, soldados e equipamentos. Com a chegada do presidente americano, Donald Trump, o compromisso de Washington perdeu a estabilidade.
Antes de assumir a Casa Branca, Trump foi um crítico feroz da estrutura da aliança militar, chegando a afirmar que a Otan era obsoleta. Ele sempre questionou a importância da organização e a obrigação da defesa mútua. Sob a ótica de Trump, o financiamento da Otan sempre foi o grande problema.  Depois de ameaçar retirar os EUA da aliança, os países-membros reafirmaram o compromisso de destinar, até 2024, pelo menos 2% do PIB para gastos militares.
Apesar de criticar a , que é a segunda maior contribuinte financeira da aliança, o presidente norte-americano comemorou ontem em Washington o “enorme progresso” nos gastos dos 28 países, que deve chegar a 100 bilhões de dólares até fim de 2020. Trump afirmou que a Otan é mais forte desde que ele assumiu o poder.
Durante a reunião entre Trump e o secretário-geral da Otan, Jens Stoltenberg, na Casa Branca, não houve nenhuma menção sobre o Brasil. A promessa feita pelo presidente dos EUA de incluir o Brasil como aliado estratégico da Otan nem ao menos constou na agenda do encontro.
Não são apenas os EUA que decidem sobre o processo de adesão na aliança militar, a indicação de um novo membro precisa ser aprovada por todos os países da organização.
A Colômbia foi o primeiro país da América Latina a concluir um acordo com a aliança atlântica. Apesar do status de “parceiro global”, a cooperação com Bogotá, na época, preocupou vários governos vizinhos que viram a iniciativa como uma provável futura interferência dos Estados Unidos nas questões sul-americanas.
A parceria, assinada no ano passado, não prevê nenhuma participação colombiana nas operações militares da Otan, nem o comprometimento com a cláusula de defesa mútua. Além da Colômbia, outros parceiros globais da organização são o Afeganistão, Austrália, , Japão, Coreia do Sul, Nova Zelândia, Paquistão e Mongólia.
",Mundo,Otan celebra 70 anos com sérias divisões internas,"Organização sofre pressão de Donald Trump, que não quer mais “pagar a conta”",04/04/2019 14:54:14
Alexandre Putti,https://www.cartacapital.com.br/politica/entenda-todos-os-passos-do-conflito-entre-maia-e-moro/,"A prisão dos membros do MDB aconteceu horas após uma rusga envolvendo o presidente da Câmara dos Deputados, Rodrigo Maia, e o ministro da Justiça, Sérgio Moro. Na noite de quarta-feira, Moro enviou uma mensagem cobrando agilidade de Maia na votação do pacote anticrime. A resposta ao juiz, ou “funcionário de Bolsonaro”, foi dado em tom duro. Houve ainda uma réplica.
Entre vários parlamentares corre a teoria de que a prisão do ex-presidente e de seu companheiro de partido foi uma forma de Moro pressionar Maia. Franco é sogro do presidente da Câmara.
Eugênio Aragão, que chefiou a pasta ocupada hoje por Sérgio Moro durante o governo Lula, . “Tudo que eles fazem tem . Justo quando o genro de um dos atingidos [pela prisão] começa a enfrentar publicamente o ex-chefe da operação, que agora está no governo? É, no mínimo, uma grande coincidência”, avalia.
    
A incursão no mundo político do juiz Sergio Moro tem sido mais atribulada do que supunham seus admiradores. Apresentado como superministro, garantidor da lisura, da transparência e da ordem, o homem que combateria no governo a corrupção e o crime organizado, Moro acumula derrotas e constrangimentos em menos de três meses no cargo.
O mais recente revés aconteceu nesta quinta. O “passa-moleque” do presidente da Câmara dos Deputados, Rodrigo Maia, lembrou o magistrado de sua real posição no governo. Em entrevista coletiva,  Maia enviou um recado ao ex-juiz dizendo que política não se resolve dessa maneira. “Eu acho que ele conhece pouco a política. Eu sou presidente da Câmara, ele é ministro, funcionário do presidente Bolsonaro. Ele está confundindo as bolas. Ele não é o presidente da República”, afirmou Maia.
  Antonio Cruz/ Agência Brasil
Moro ficou irritado com a decisão do presidente da Câmara em determinar a criação de um grupo de trabalho para analisar seu projeto anticrime. Na prática, Maia congelou a tramitação da proposta, pois a elaboração deste grupo tem o prazo de 90 dias para debater as matérias.
Maia lembrou que a prioridade do governo é a aprovação da Reforma da Previdência e que qualquer outro assunto deve ser postergado. Alguns outros parlamentares da base de Bolsonaro já vinham mostrando preocupação em enviar um projeto tão polêmico ao mesmo tempo que a reforma.
Moro rebateu o presidente da Câmara e disse que era possível, sim, debater os dois projetos ao mesmo tempo. “O povo brasileiro não aguenta mais. Essas questões sempre foram tratadas com respeito e cordialidade com o senhor Presidente da Câmara, esperando eu que o mesmo possa ocorrer com o projeto e com quem o propôs”, disse Moro.
Não bastasse o presidente da Câmara colocar o projeto de Moro para escanteio, ele também selecionou parlamentares que são críticos a sua proposta para participar da Comissão. Na quarta-feira 20, Maia indicou Marcelo Freixo (PSOL-RJ) e Paulo Teixeira (PT-SP) para integrarem o grupo de trabalho que vai analisar o pacote anticrime.
“Quero que esse grupo seja o lugar para ouvirmos a sociedade civil sobre o pacote do Moro. Tenho muita experiência na área, e eles reconhecem isso”, diz Freixo.
As críticas do presidente da Câmara não foram apenas a Moro. Maia desqualificou o projeto anticrime apresentado pelo ministro e disse que o texto é um cópia e cola de proposta sobre o mesmo tema que foi apresentada no passado pelo ex-ministro da justiça Alexandre de Moraes, hoje ministro no STF.
“Ele conversa com o presidente Bolsonaro e, se o presidente Bolsonaro quiser, ele conversa comigo. Eu fiz aquilo que eu acho correto. O projeto é importante, aliás, ele está copiando o projeto direto do ministro Alexandre de Moraes. É um copia e cola. Não tem nenhuma novidade, poucas novidades no projeto dele”, disse.  Mais tarde e mais calmo, Maia deu uma entrevista à  e afirmou que o “copia e cola” não era uma crítica e sim uma afirmação feita pelo próprio ministro . “O próprio Moro me disse que tinha copiado muitos artigos (do projeto de Moraes) é por isso que eu disse isso”. O presidente da Câmara contou que o próprio presidente Jair Bolsonaro havia pedido para ele prioridade total na previdência e que deixasse os outros projetos para depois.
Beto Barata/ PRMoro sempre foi protagonista nos processos da operação Lava Jato. Nesses cinco anos, o juiz ganhou fama no pais e vinha se comportando como um superstar da Justiça. Entrevistas, prêmios, coletivas e jantares faziam parte da rotina do magistrado.
Além disso, a imprensa sempre era avisada com antecedência sobre qualquer movimentação da operação. O presidente da Câmara ironizou o ministro e insinuou que Moro busca destaque na mídia ao querer aprovar a proposta apresentada. “O projeto vai andar no momento adequado, ele pode esperar para ter um Jornal Nacional, um Jornal da Band, ou da TV Record, ele pode esperar”, disse.
: Valter Campanato/Agência Brasil)Sérgio Moro vinha sendo considerado o herói contra a corrupção do Brasil. Após a vitória de Bolsonaro, o presidente convidou o ex-juiz para comandar o Ministério da Justiça e lhe garantiu superpoderes e total autonomia.
Moro disse ter aceitado o convite de Bolsonaro por estar “cansado de tomar bola nas costas”. Ele assumiu o cargo dizendo que teria total autonomia e status de super ministério. Isso foi só ilusão, pois, na prática, até o momento, Moro só teve derrotas.
Como primeira medida, o presidente Jair Bolsonaro fez um decreto flexibilizando a posse de armas. Moro tentou se desvincular dessa ideia e propôs ao presidente que o decreto permitisse apenas 2  armas por pessoa. A ideia de Moro foi completamente ignorada e o decreto surgiu permitindo quatro armas por pessoa.
E quando o ministro enviou ao Congresso o projeto anticrime, o Palácio do Planalto exigiu que a proposta de criminalização do caixa dois tramitasse separadamente do restante do projeto.
O clã Bolsonaro se irritou com o ministro quando ele indicou Ilona Szabó para o Conselho Nacional de Política Criminal e Penitenciária. A magistrada é contrária ao afrouxamento das regras de acesso a armas e criticou a ideia de ampliação do direito à legítima defesa que está no projeto do ministro. Moro foi obrigado a exonera-la após a pressão do presidente.
 
 
 
",Política,Entenda todos os passos do conflito entre Maia e Moro,As prisões de Michel Temer e Moreira Franco foram mesmo uma forma de Sérgio Moro atingir Rodrigo Maia?,21/03/2019 19:38:18
Deutsche Welle,https://www.cartacapital.com.br/sociedade/prefeitura-do-rio-mandou-interditar-ct-do-flamengo-em-2017/,"Segundo nota divulgada pela prefeitura, a atual licença do centro de treinamento George Helal, conhecido como Ninho do Urubu, vale até 30 de março deste ano. No entanto, o alojamento dos atletas das categorias de base “não consta do último projeto aprovado pela área de licenciamento, em 5 de abril de 2018, como edificada”.As autoridades afirmam que no projeto protocolado pelo clube, a área do alojamento – distribuída em seis contêineres, que foram totalmente destruídos pelo incêndio – está descrita como um estacionamento.De acordo com a prefeitura, há registro de um pedido de funcionamento da área como dormitórios de setembro de 2017, para o qual, após uma consulta prévia ser deferida, foram solicitados documentos necessários para o .“O certificado de aprovação do Corpo de Bombeiros não foi apresentado, portanto, o alvará não foi concedido. Por estar em funcionamento sem o devido alvará foram lavrados quase 30 autos de infração”, diz a nota.
O texto afirma ainda que a prefeitura vai determinar a abertura de um processo de investigação para apurar as responsabilidades no incêndio ocorrido no Ninho do Urubu.Segundo lista divulgada pelo Flamengo, todos os dez mortos e os três feridos eram atletas da base do clube, com idades entre 14 e 17 anos. No total, 26 atletas dormiam no alojamento atingido pelo incêndio, e 13 conseguiram escapar.O clube informou no fim da tarde desta sexta-feira que dois dos três feridos – os atletas Cauan Emanuel e Francisco Dyogo – estavam em situação estável, acordados e conscientes.O terceiro ferido, Jhonata Ventura, estava em estado grave. “Ele foi atingido na face, membros superiores e mãos e tem queimaduras em 30% do corpo”, informou o clube.A causa do incêndio ainda é desconhecida. A perícia, no entanto, trabalha com a hipótese de um curto-circuito em um dos aparelhos de ar-condicionado. Testemunhas disseram que as chamas se alastraram com rapidez.O Ninho do Urubu é considerado um dos mais modernos centros de treinamento da América Latina e possui um módulo para a equipe profissional do Flamengo, dois campos de treino e um espaço específico para a preparação de goleiros, além da área de alojamento para atletas das camadas jovens, que foi atingida no incêndio.Após a tragédia no centro de treinamento do Flamengo, a prefeitura do Rio afirmou que os centros de treinamento do Vasco da Gama e do Fluminense Futebol Clube também funcionam sem alvará de licenciamento para edificações. Autoridades vão fiscalizar os locais e tomar as devidas providências legais, segundo a nota.",Sociedade, Prefeitura do Rio mandou interditar CT do Flamengo em 2017,Área do alojamento atingido por incêndio só tinha permissão para funcionar como estacionamento,09/02/2019 14:31:47
Rodrigo Martins,https://www.cartacapital.com.br/sociedade/as-licoes-das-tragedias-que-o-brasil-e-incapaz-de-aprender/,"

O incêndio no CT do Flamengo e o massacre no Fallet são apenas os mais recentes episódios da mórbida novela

    Como ficou o alojamento no centro de treinamento do Flamengo após o incêndio (Foto: Marie Hospital/AFP)





O que sobrou do horror criado pela polícia fluminense no Morro do Fallet (Foto: Fabio Teixeira/ZUMA Wire)  


Passados três anos, os responsáveis pelo desastre em Mariana seguem impunes (Foto: Christophe Simon/AFP)


De Mariana a Brumadinho sobram exemplos de negligência e ambição desmedida
   
",Sociedade, As lições das tragédias que o Brasil é incapaz de aprender,"Do incêndio no CT do Flamengo ao desastre de Mariana e Brumadinho, sobram exemplos de negligência e impunidade",24/02/2019 10:30:28
AFP,https://www.cartacapital.com.br/mundo/glifosato-herbicida-polemico-em-todo-o-mundo/,"Desde 2015, a substância é considerada pela Organização Mundial de Saúde como “cancerígeno provável”. É usado sob distintas marcas, sendo a mais conhecida delas o Roundup, fabricado pela Monsanto, propriedade do grupo alemão Bayer.
  Confira abaixo algumas das restrições vigentes em vários países e regiões do mundo:
Um júri americano considerou que o Roundup contribuiu para o linfoma não Hodgkin (LNH) de , aposentado de cerca de 70 anos.
Na quarta-feira 27, o grupo Monsanto foi declarado culpado de negligência por um júri da Califórnia e condenado a pagar cerca de 81 milhões de dólares a Hardeman.
Em agosto passado, um tribunal de San Francisco condenou a Monsanto a pagar 289 milhões de dólares a Dewayne Johnson, que tinha o mesmo câncer.  A Justiça decidiu que o Roundup foi a causa de sua doença e que a Monsanto agiu de forma mal-intencionada, dissimulando riscos de seus produtos com glifosato.
Handerman atribui o câncer ao Roundup (Foto: Julie Charpentrat/AFP)A multa foi reduzida para 78,5 milhões de dólares por uma juíza, mas a Bayer apelou da decisão.
O grupo farmacêutico e de agroquímica alemão afirma que “a ciência confirma que os herbicidas à base de glifosato não geram câncer”.
Nos Estados Unidos, há milhares de processos em curso contra a Monsanto, mas o que ocorrer no caso Hardeman, que ainda pode durar duas semanas, será crucial para o futuro.
No Brasil, a Justiça pediu em 2015 para a Agência Nacional de Vigilância Sanitária avaliar “urgentemente” sua toxicidade diante de uma possível proibição – uma decisão que não agrada ao poderoso lobby do agronegócio.
Na Colômbia, as pulverizações aéreas de glifosato foram proibidas em 2015 pela Corte Constitucional. Mas , presidente desde 2018, é favorável a retomá-las para fazer frente ao aumento recorde das plantações de drogas.    Em El Salvador, o glifosato integrava a lista de 53 produtos agrícolas proibidos em 2013, mas logo foi retirado, com outras dez substâncias. Há uma comissão encarregada de avaliar os riscos.
Na Argentina, os conflitos entre os habitantes e os agricultores que usam glifosato são constantes. O segundo grupo considera o produto indispensável para seu trabalho. Contudo, como não existe uma legislação nacional, as prefeituras devem tomar decisões locais para limitar a fumigação.
Após dois anos de debates especialmente intensos, em 2017 os Estados-membros da União Europeia decidiram renovar por cinco anos a licença do glifosato.
A Comissão Europeia, órgão executivo da UE, justificou a decisão pela aprovação de suas agências científicas, a Efsa (segurança alimentar) e a Eccha (produtos químicos), que não consideraram a substância cancerígena.
Mas a independência da Efsa está em xeque. Vários jornais revelaram que seu relatório tinha trechos idênticos aos de um documento da Monsanto de 2012.
Já o governo francês prometeu que o glifosato seria parcialmente proibido em 2021 e totalmente dentro de cinco anos.
O herbicida foi proibido no Sri Lanka em junho de 2015, porque foi considerado responsável por uma doença nos rins, que afeta moradores das zonas de produção de arroz.
A comunidade científica do país destacou, porém, que não existem estudos que associem o glifosato diretamente à doença renal crônica. Com isso, a proibição foi suspensa em maio de 2018, com uma autorização de utilização nas plantações de chá e da seringueira.
",Mundo,"Glifosato, herbicida polêmico em todo o mundo","Acusado de provocar câncer, o produto foi proibido em poucos países até agora",30/03/2019 03:15:02
Alexandre Putti,https://www.cartacapital.com.br/justica/julgamento-de-prisao-em-2a-instancia-e-adiado-por-dias-toffoli/,"A OAB havia pedido ao Supremo que adiasse a votação, pois a nova diretoria tomou posse recentemente e ainda precisa se inteirar “de todos os aspectos” envolvidos no caso.  O STF acatou o pedido e tirou da pauta da semana a discussão das ADCs 43, 44 e 54, que estão sob relatoria do ministro Marco Aurélio Mello. Além do processo da OAB, a corte julgará conjuntamente outras duas ações apresentadas pelo PCdoB e pelo Patriota. Todas elas tratam sobre o mesmo assunto.
Desde 2016, o Supremo entende que a prisão após segunda instância é possível. Aqueles condenados por tribunais de segundo grau, como os Tribunais Regionais Federais, podem ser presos. Foi baseado nessa decisão que o ex-juiz Sérgio Moro decretou a prisão do ex-presidente Lula.  As ações que pedem para derrubar esse entendimento utilizam como argumento o artigo 283 do Código de Processo Penal, que estabelece que as prisões só podem ocorrer após o trânsito em julgado, ou seja, quando não couber mais recursos no processo.
O ministro não anunciou quando será retomada essa discussão.
",Justiça,Julgamento de prisão em 2ª instância é adiado por Dias Toffoli,Presidente do STF acatou pedido da OAB para adiar a votação ,04/04/2019 13:43:52
Alexandre Putti,https://www.cartacapital.com.br/mundo/mortalidade-infantil-cresce-75-em-5-anos-na-venezuela/,"O estudo avaliou a situação da saúde no país de Nicolás Maduro, que sofre com uma crise política e humanitária. A equipe fez 156 entrevistas no período de 12 meses ouvindo médicos que atuam na Venezuela e cidadãos que cruzaram a fronteira do Brasil ou da Colômbia.
Desde 2017 não existe uma comunicação oficial do governo venezuelano sobre os dados da saúde do país. Para chegar aos números foram utilizadas pesquisas de órgãos internacionais que defendem os direitos humanos e as entrevistas realizadas pela equipe. Os médicos consultados também enviaram documentos.  
A conclusão não foi animadora: o estudo se deparou com um sistema de saúde em colapso total, aumentando os níveis de mortalidade materna e infantil; a propagação de doenças evitáveis ​​por vacinação, como o sarampo e a difteria; e o aumento no número de doenças infecciosas, como malária e tuberculose.
“Embora o governo tenha parado de publicar dados oficiais sobre nutrição em 2007, pesquisas realizadas por organizações e universidades venezuelanas documentam altos níveis de insegurança alimentar e desnutrição infantil, e dados disponíveis mostram altas admissões hospitalares de crianças desnutridas”, diz o relatório.  Sobre a mortalidade infantil foram utilizados dados da Unicef que mostram uma quase duplicação das taxas nos últimos cinco anos. De 14,6 mortes por 1.000 nascidos vivos em 2012 para 25,7 mortes por 1.000 nascidos vivos em 2017. Em um dos hospitais do país, a situação é ainda pior: de 2016 a 2018, as mortes neonatais aumentaram 54% e o número de mortes infantis dobrou.
A ajuda humanitária internacional à Venezuela teve crescimento em 2018, após uma mudança no discurso do governo de negar totalmente a crise humana e econômica. Maduro, entretanto, sustentou (e sustenta) que a escassez tem a ver com as sanções impostas pelos EUA. Organizações internacionais e não-governamentais têm relatado consistentemente que a ajuda à Venezuela não é suficiente para cobrir as necessidades urgentes da população.
Tamara Taraciuk é venezuelana radicada na Argentina e foi uma das responsáveis pelo estudo. Ela conta que a conclusão do relatório é de que a crise venezuelana é consequência de uma má gestão. “O governo de Nícolas Maduro esconde os dados para maquiar a magnitude da crise. Mais de 7 milhões de pessoas precisam de ajuda humanitária na Venezuela, precisamos agir”, disse.  
Segundo Tamara, o secretário-geral da ONU, António Guterres, deve liderar esforços para desenvolver um plano abrangente de resposta humanitária, dentro e fora do país. “Nada deve ser feito diretamente ao Estado. Toda a ajuda deve ser direcionada à ONU. Os países precisam agir, mas sem envolver a política”, pontua.
“A combinação de escassez de medicamentos e de alimentos, juntamente com a disseminação de doenças nas fronteiras da Venezuela, equivale a uma emergência humanitária complexa que requer uma resposta completa”, conclui Tamara.
",Mundo,Mortalidade infantil cresce 75% em 5 anos na Venezuela,O país comandado por Maduro é o único da América do Sul que retornou a níveis observados nos anos 90,04/04/2019 03:30:11
André Barrocal,https://www.cartacapital.com.br/politica/mercado-desiludiu-se-com-bolsonaro-previdencia-mudara-mesmo/,"Será que o fôlego novo do sistema financeiro terá vida longa? Que vale apostar na aprovação da “reforma extremamente cruel”, definição dada por um ex-economista de banco (o BTG Pactual), Eduardo Moreira, em um debate no Senado na segunda-feira 25?
    Até a trégua entre Bolsonaro, um reformista sem convicção, e Maia, um neoliberal de corpo e alma, o “mercado” era pura desilusão. “A classe empresarial e o mercado perceberam que o ajuste [ proposto pelo Paulo Guedes e o Bolsonaro não vai andar na velocidade imaginada”, dizia na quarta-feira 27 André Perfeito, economista-chefe da Necton Investimentos.
Paulo Guedes, o dono da reforma da Previdência (Foto: Jefferson Rudy/Agência Senado)Naquele dia, ressaca de duas derrotas impostas pelo Congresso a Bolsonaro, uma delas no tema Previdência, o analista de uma gigante estrangeira atuante no sistema financeiro em São Paulo afirmava a : “A reversão de expectativas foi impressionante nos últimos dias.” Mas, ressalvava ele, “o mercado ainda está ‘comprado’ em Bolsonaro”.
“Comprado”, no linguajar das finanças, é apostar a favor. Segundo o analista, os investidores de fora nunca se iludiram quanto à reforma. Eram cautelosos nos negócios. Agora, os daqui começam a ficar contaminados pela desconfiança. Uma história que pode ser contada pela taxa de câmbio, diz o analista.  Quando em fins de agosto, começo de setembro, despontava como favorito na eleição o petista Fernando Haddad, que não morre de amores pela reforma, o dólar subiu de 3,7 para 4,2. Ficou por aí uns 15 dias, apesar das intervenções do Banco Central (BC). Quando Bolsonaro assumiu o favoritismo, o preço voltou a 3,70. Esteve nesse patamar até o início de março.
Na quarta-feira 27, bateu na casa dos 4 reais. Na véspera, só notícia ruim para o “mercado”. O centrão, aquela turma direitista acostumada a trabalhar por seus próprios interesses, siglas como MDB, PR, PRB, PTB, PSD e Solidariedade, reuniu-se na Câmara e anunciou: não vai deixar mexer na aposentadoria rural, nem no BPC, benefício de caráter assistencial pago a idosos.
E olha que um dia antes, 13 industriais graúdos haviam se reunido com Bolsonaro e Guedes em Brasília e depois prometiam publicamente fazer lobby pró-reforma com seus contatos no Congresso, ou seja, os parlamentares. E defenderiam que fosse aprovada do jeito que o ministro propôs, com mudanças no BPC e na aposentadoria dos camponeses.
Parlamentar simpatizante de empresa é o que não falta, apesar de a última eleição ter sido sem doações patronais. Dos 513 deputados, uns 200 (38%) são empresários, conforme o Departamento Intersindical de Assessoria Parlamentar (Diap). No Senado, a bancada patronal é ainda maior: 38 dos 81 senadores, quase metade da Casa.
Líder do centrão, o deputado Elmar Nascimento, do DEM da Bahia, tem dito pelos corredores que o governo “perdeu a batalha da comunicação” na reforma e que o bloco até quer ajudar o Palácio do Planalto, mas não tem vocação suicida. Tradução: a reforma é dura demais com o povão.  Quem explicou a dureza foi Eduardo Moreira, no Senado. A reforma tira dinheiro dos mais pobres, ao dificultar a aposentadoria dos trabalhadores, para dar aos ricos, os detentores da dívida pública. Uma desinteligência, segundo ele, pois rico poupa o que embolsa, algo que não estimula a economia, enquanto o pobre gasta tudo o que recebe, um motor do PIB. Houvesse crescimento, disse, o alegado déficit da Previdência teria outro tamanho.
Apesar disso, a reforma tem lá suas chances, pois o poder econômico e a mídia são favoráveis. No noticiário, no debate público, afirmou Moreira, “você vê o quê: brancos, ricos, no ar-condicionado, comentando a questão da Previdência… Quantos negros foram ouvidos, quantos representantes dos trabalhadores rurais?”
“O presidente já deixou muito claro que, por ele, não faria a reforma. Não há um ânimo reformista no ar”, disse um desses brancos do ar-condicionado, Arminio Fraga, ex-presidente do BC tucano, durante uma seminário da FGV em São Paulo. No “mercado”, já há economista com a seguinte opinião: “O Bolsonaro não dá, vamos ter de tirar esse cara daí.”
A semana anterior às derrotas do Planalto no Congresso tinha sido “provavelmente a pior semana para o presidente Jair Bolsonaro desde que ele foi eleito para o cargo”, conforme um relatório enviado a seus clientes mundiais pela consultoria global Eurasia Group. É de se imaginar que a semana seguinte tenha assumido o posto de “a pior”.
Nos próximos dias Bolsonaro estará fora do Brasil, em viagem a Israel, uma dívida dele com os evangélicos. Rodrigo Maia disse que a briga com o presidente era “assunto encerrado”, recebeu em casa para um café da manhã o ministro da Justiça, Sérgio Moro, em que havia dado umas patadas, e Paulo Guedes. Uma tentativa de sair do foco das milícias digitais bolsonaristas.
Mas, e os deputados do centrão, aqueles que estão por trás de queixar que Maia só expressou? Estão domesticados também? Ou vão aprontar outra vez com Bolsonaro para domesticá-lo vez, enquanto ele estiver no exterior?
A conferir o clima pós-aniversário de 55 anos do golpe que Bolsonaro mandou os quartéis festejarem.
",Política,Mercado desiludiu-se com Bolsonaro. Previdência mudará mesmo?,"Variações do dólar e da Bolsa indicaram ‘impressionante reversão de expectativas’, diz analista",29/03/2019 03:30:14
